verification_id,audit_sample_id,activity_id,source_record_id,claim_tested,dataset_value,evidence_result,evidence_type,evidence_url,secondary_evidence_url,physical_realization_verified,review_method,reviewed_at_utc,verification_notes
verify-001,audit-003,tpa-5ab0e5aba72288,0,Project identity and reported administrative status,"O'Brien St - Segment 1; Closeout",supported,authoritative_city_page,https://www.tampa.gov/project/trans20178,,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City project page matches the title, description, location, and Closeout status. Closeout is administrative evidence and was not treated as independent proof of physical completion."
verify-002,audit-004,tpa-a5f28570fd23b1,TRANS20030,Project identity and reported administrative status,"Gray St Bike Blvd.; Closeout",supported,authoritative_city_page,https://www.tampa.gov/project/trans20030,https://www.tampa.gov/mobility/transportation/projects/closeout,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City detail page and closeout listing match the project and status. The page includes project imagery, but this pilot did not independently date or geolocate the imagery."
verify-003,audit-007,tpa-b4ab7c66d00b4a,102575,Project identity and reported administrative status,"Commerce Palms Dr and Compton Dr; Closeout",supported,authoritative_city_page,https://www.tampa.gov/project/trans10032,,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City page reports project ID 102575, the same project title, Closeout status, cost, and location. Physical completion was not independently established."
verify-004,audit-014,tpa-7878b137016fca,1001517,Project identity and reported administrative status,"Green ARTery - Segment E; Closeout",supported,authoritative_city_page,https://www.tampa.gov/mobility/transportation/projects/closeout,https://www.tampa.gov/news/2025-05/tampa-begins-construction-green-artery-168046,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City closeout list contains Segment E and a dated City news release confirms construction began on Green ARTery segments. The evidence reviewed did not isolate a dated completion event for Segment E."
verify-005,audit-023,tpa-4ada1f6c3013a6,1001597,Project identity and reported administrative status,"Virginia Avenue Pumping Station Drainage Improvements; Closeout",supported,authoritative_city_page,https://www.tampa.gov/mobility/stormwater/capital-projects/flood-relief,,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City's categorized flood-relief page lists this exact project under Closeout. No independent completion event was located in this pilot."
verify-006,audit-028,tpa-90a5446f3cdb57,TRANS20177.1,Project identity and reported administrative status,"30th St Segment 1; Closeout",supported,authoritative_city_page,https://www.tampa.gov/project/trans201771,,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City project page matches the department ID, title, location, project type, and Closeout status. Administrative closeout alone is not counted as independent physical verification."
verify-007,audit-042,tpa-ee4ec0506c52e7,1002587,Project identity and active physical construction,"Green Spine Cycle Track Phase 2A; Construction in Progress",supported,authoritative_city_news,https://www.tampa.gov/news/2026-01/last-stretch-green-spine-178961,https://www.tampa.gov/project/trans20033,yes,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"A dated City news release states construction began and describes the location, cost, contractor, and expected completion; the project page independently matches project ID 1002587 and construction status."
verify-008,audit-044,tpa-9df29b136b10b2,1002903,Project identity and reported construction stage,"MLK Resurfacing from Air Cargo to Dale Mabry; Construction in Progress",supported,authoritative_city_page,https://www.tampa.gov/mobility/transportation/projects/construction,,partial,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City construction-phase listing contains the exact project. This supports the active stage but the pilot did not locate separately dated site evidence."
verify-009,audit-047,tpa-c06a1f03447b23,SW40003,Project identity and reported construction stage,"S.E. Seminole Heights Flooding Relief; Construction in Progress",supported,authoritative_city_page,https://www.tampa.gov/project/sw40003,https://www.tampa.gov/mobility/stormwater/capital-projects/flood-relief,partial,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City detail and categorized project pages match the department/project IDs, scope, location, and Construction in Progress status. Same-agency status evidence is not a final inspection."
verify-010,audit-050,tpa-a1b0cac407d6e5,1002096,Project identity and reported construction stage,"West River BUILD Segments 1-6; Construction in Progress",supported,authoritative_city_page,https://www.tampa.gov/project/trans20079,,partial,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The City page matches project ID 1002096, title, construction stage, schedule, and cost and states that most of the network has been constructed. The entire multi-segment project is not complete."
verify-011,audit-111,tpa-2b19325bc508a3,BLD-24-0507718,Permit identity and building-work classification,"9408 N 17th St addition; building_construction",supported,third_party_permit_aggregation,https://www.buildzoom.com/contractor/g9-construction-co,https://www.realtor.com/realestateandhomes-detail/9408-N-17th-St_Tampa_FL_33612_M55349-80063,not_established,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"Third-party permit aggregations reproduce permit BLD-24-0507718 at the address and describe removal/rebuilding of a screen-room enclosure. They support the corrected building-work classification; this check does not establish completion of the exact normalized activity."
verify-012,audit-133,tpa-50aeddb7e1b918,VRB-22-0000030,Planning-record identity and location,"Variance Review Board at 3521 Regent Park",supported,independent_city_data_mirror,https://dev-coord.tampamonitor.com/locations/current?COUNCILDISTRICT=4&Type=Variance+Review+Board&_facet=UNIT&_facet_date=CREATEDDATE&_facet_size=max&_sort=RECORDID,,not_applicable,AI-assisted public-web evidence review,2026-08-23T03:00:00Z,"The independent City-open-data mirror reproduces record VRB-22-0000030, address, type, dates, URL, and coordinates. This is a planning record, so physical realization is not applicable."

