table,field,definition,data_type,unit,nullable,null_meaning,origin,source_field_or_derivation,valid_values,interpretation_warning
activity_by_month.csv,record_id,Stable hashed identifier for one cross-snapshot source-record identity.,text,,no,Never blank.,derived identifier,"SHA-1 of record_identity, truncated to 16 hexadecimal characters.",rec-*,"Identifies a published source record, not necessarily a real-world development."
activity_by_month.csv,record_identity,Comparison identity used to link the same source record across snapshots.,text,,no,Never blank.,derived identifier,"Source plus native ID, with GlobalID or OBJECTID disambiguation for duplicates.",Tracker-defined identity string.,An upstream identifier replacement can still split one record into two identities.
activity_by_month.csv,source_record_key,Current-release source feature key when the record is present in the processed release.,text,,yes,Blank for a historical record absent from the current processed release.,derived identifier,Copied from current source_records.csv by record identity.,src-* or blank.,Use record_id for cross-snapshot cohort work.
activity_by_month.csv,activity_id,Current normalized activity identifier linked to the source record when available.,text,,yes,Blank for a historical record absent from the current processed release.,derived identifier,Copied from current source_records.csv by record identity.,tpa-* or blank.,Activity IDs are a secondary analytical view and may change with entity-resolution rules.
activity_by_month.csv,source_name,Machine-readable name of the originating City GIS layer.,text,,no,Never blank.,source metadata,Retained from the latest snapshot containing the record.,One of the eight configured source names.,Source layers have different scopes and date semantics.
activity_by_month.csv,source_record_id,Native record or project identifier reported by the source.,text,,yes,Blank when the source supplied no usable native identifier.,source,Retained from the latest snapshot containing the record.,Source-defined.,May be reused or missing in upstream data.
activity_by_month.csv,event_date,Selected source-derived date used to assign the record to an event cohort.,date,,yes,Blank when no supported source date is available.,source/derived selection,Source-specific hierarchy documented in TEMPORAL_COHORTS.md.,ISO 8601 date.,Interpret only with event_date_type and event_date_basis; meanings differ across sources.
activity_by_month.csv,event_month,Calendar month derived from event_date.,year-month,,yes,Blank when event_date is blank.,derived,First seven characters of event_date.,YYYY-MM.,This is not the month TDR first observed the record.
activity_by_month.csv,event_date_type,Meaning assigned to the selected source date.,categorical text,,yes,Blank when no supported source date is available.,derived semantic label,Source-specific date-selection rule.,permit_issued; permit_application_opened; permit_record_created; planning_application_created; preservation_application_created; capital_actual_start; capital_planned_start; source_record_created,Do not pool different types as one homogeneous development-event measure.
activity_by_month.csv,event_date_source_field,Exact source attribute from which event_date was parsed.,text,,yes,Blank when event_date is blank.,source metadata,First valid field in the documented source-specific hierarchy.,Source field name.,Field names do not make unlike source concepts directly comparable.
activity_by_month.csv,event_date_basis,Broad evidence class for the selected event date.,categorical text,,yes,Blank when event_date is blank.,derived,Assigned from event_date_type.,source_reported_event; source_reported_plan; source_record_metadata,A plan or record-metadata date does not prove real-world work occurred.
activity_by_month.csv,event_date_is_planned,Whether event_date is explicitly a planned rather than observed date.,boolean/integer,,no,Never blank.,derived,1 only for a capital planned-start date; otherwise 0.,0; 1,A value of 0 does not independently validate that an underlying physical event occurred.
activity_by_month.csv,event_date_is_after_snapshot,Whether event_date falls after the snapshot supplying the row attributes.,boolean/integer,,no,Never blank.,derived,event_date greater than snapshot_date.,0; 1,Expected for some planned dates; unexpected values merit source-level review.
activity_by_month.csv,first_observed_date,First TDR snapshot date in which the record identity appears.,date,,no,Never blank.,TDR observation history,Minimum archived observation date for record_identity.,ISO 8601 date.,Does not identify when the record entered the City's system.
activity_by_month.csv,first_observed_month,Calendar month of first_observed_date.,year-month,,no,Never blank.,derived,First seven characters of first_observed_date.,YYYY-MM.,Newly observed by TDR is not necessarily newly created by the source.
activity_by_month.csv,last_observed_date,Most recent TDR snapshot date in which the record identity appears.,date,,no,Never blank.,TDR observation history,Maximum archived observation date for record_identity.,ISO 8601 date.,"A final observation does not prove deletion, cancellation, or completion."
activity_by_month.csv,last_observed_month,Calendar month of last_observed_date.,year-month,,no,Never blank.,derived,First seven characters of last_observed_date.,YYYY-MM.,"This is an observation month, not an underlying event month."
activity_by_month.csv,snapshot_date,Snapshot date supplying the source attributes represented in this row.,date,,no,Never blank.,TDR observation history,Latest snapshot containing record_identity.,ISO 8601 date.,Attributes may have had different values in earlier snapshots.
activity_by_month.csv,snapshot_month,Calendar month of the snapshot supplying the row attributes.,year-month,,no,Never blank.,derived,First seven characters of snapshot_date.,YYYY-MM.,"This is a TDR collection month, not an underlying event month."
activity_by_month.csv,observation_count,Number of distinct TDR snapshot dates containing the record identity.,integer,snapshots,no,Never blank.,derived,Count of distinct snapshot dates for record_identity.,Positive integer.,Snapshot cadence determines the observation opportunity count.
